From	To
O75822	EIF3J
Q9UID3	VPS51
Q9NR33	POLE4
Q13523	PRPF4B
Q12933	TRAF2
Q9NS69	TOMM22
O75427	LRCH4
Q96GM8	TOE1
Q15042	RAB3GAP1
Q9HAP2	MLXIP
Q8IY67	RAVER1
P30566	ADSL
Q9H7E9	C8orf33
A6NFI3	ZNF316
Q9H0S4	DDX47
Q04446	GBE1
Q13263	TRIM28
Q7L4I2	RSRC2
P55210	CASP7
Q96EB6	SIRT1
Q03135	CAV1
P52907	CAPZA1
O60504	SORBS3
Q99733	NAP1L4
P55209	NAP1L1
P47755	CAPZA2
Q8IV50	LYSMD2
Q702N8	XIRP1
Q9Y5S9	RBM8A
Q9NYM9	BET1L
Q9UK97	FBXO9
Q86VR2	RETREG3
P54274	TERF1
Q8IZM8	ZNF654
Q13838	DDX39B
P52565	ARHGDIA
O15541	RNF113A
O60869	EDF1
P49736	MCM2
Q7L099	RUFY3
O95295	SNAPIN
Q96SW2	CRBN
Q8NC56	LEMD2
P50579	METAP2
Q16643	DBN1
Q6ZN30	BNC2
Q9P289	STK26
Q9Y6E0	STK24
P36021	SLC16A2
Q9H4Z3	PCIF1
O14579	COPE
P78347	GTF2I
Q63ZY3	KANK2
Q9NVC3	SLC38A7
Q9BWQ6	YIPF2
Q9BQJ4	TMEM47
Q6P2E9	EDC4
P50851	LRBA
Q5JSH3	WDR44
Q9H4A4	RNPEP
P23528	CFL1
P60981	DSTN
Q9Y281	CFL2
Q8TDB6	DTX3L
Q9P253	VPS18
O60762	DPM1
Q99594	TEAD3
O15131	KPNA5
P35568	IRS1
Q13601	KRR1
P49356	FNTB
Q13557	CAMK2D
Q9P0P0	RNF181
Q15020	SART3
O60293	ZFC3H1
Q9NVH1	DNAJC11
Q9C0J8	WDR33
Q9NVD7	PARVA
P06730	EIF4E
P46821	MAP1B
Q9NVA2	SEPTIN11
Q9Y277	VDAC3
Q9P1Y6	PHRF1
P51636	CAV2
Q9NZT2	OGFR
Q9HC35	EML4
Q06330	RBPJ
Q9H0C8	ILKAP
O00161	SNAP23
P50402	EMD
Q9BSE4	HERPUD2
O43399	TPD52L2
Q8WTS6	SETD7
O60662	KLHL41
Q15029	EFTUD2
O14979	HNRNPDL
P06748	NPM1
Q8N720	ZNF655
Q96HH4	TMEM169
O60285	NUAK1
Q9P0U4	CXXC1
Q9BZF1	OSBPL8
Q8N697	SLC15A4
Q9H3H3	C11orf68
Q13698	CACNA1S
P28347	TEAD1
Q70E73	RAPH1
Q16878	CDO1
Q86VQ6	TXNRD3
O43760	SYNGR2
O60684	KPNA6
Q9NWV8	BABAM1
Q14934	NFATC4
Q9BXP5	SRRT
Q14872	MTF1
P62273	RPS29
Q6AW86	ZNF324B
Q70Z53	FRA10AC1
Q5BJH7	YIF1B
P84103	SRSF3
O95379	TNFAIP8
Q15772	SPEG
P35613	BSG
A0AV02	SLC12A8
Q9HAS0	C17orf75
Q9UPE1	SRPK3
Q96ET8	TVP23C
Q9UG56	PISD
Q14315	FLNC
O95772	STARD3NL
P17980	PSMC3
Q9HCD5	NCOA5
O94875	SORBS2
P60468	SEC61B
Q9ULS5	TMCC3
Q9UKY7	CDV3
Q96AY3	FKBP10
Q9H7L9	SUDS3
Q86WX3	RPS19BP1
O60664	PLIN3
P35659	DEK
P06454	PTMA
Q96FQ6	S100A16
Q8IWE2	FAM114A1
P45378	TNNT3
Q8NDC0	MAPK1IP1L
Q99536	VAT1
P26368	U2AF2
P45379	TNNT2
P62328	TMSB4X
P61244	MAX
Q13177	PAK2
P08047	SP1
P63165	SUMO1
P62995	TRA2B
Q9UMY4	SNX12
Q9UNF1	MAGED2
Q13595	TRA2A
P16989	YBX3
O95747	OXSR1
Q9UHY1	NRBP1
Q0VAK6	LMOD3
Q9UBL0	ARPP21
Q9H0W8	SMG9
P16403	H1-2
P10412	H1-4
P16401	H1-5
P16402	H1-3
P05976	MYL1
P20042	EIF2S2
P11387	TOP1
Q15149	PLEC
Q9UQ80	PA2G4
P49840	GSK3A
Q14240	EIF4A2
Q13541	EIF4EBP1
P98175	RBM10
P63218	GNG5
Q9Y3A5	SBDS
P13489	RNH1
Q3YBR2	TBRG1
P62316	SNRPD2
Q9HB90	RRAGC
O00560	SDCBP
O43752	STX6
Q969X1	TMBIM1
P17661	DES
Q16851	UGP2
Q16539	MAPK14
P68402	PAFAH1B2
B4DJY2	TMEM233
Q9UEY8	ADD3
P11055	MYH3
P84022	SMAD3
Q15796	SMAD2
P62820	RAB1A
P33991	MCM4
P00352	ALDH1A1
P22314	UBA1
Q00839	HNRNPU
Q00341	HDLBP
Q9Y241	HIGD1A
P20340	RAB6A
Q15836	VAMP3
P49023	PXN
P07355	ANXA2
Q92522	H1-10
Q9NWU2	GID8
Q86Y82	STX12
Q9Y262	EIF3L
O15400	STX7
Q15311	RALBP1
Q9BSE2	TMEM79
Q9Y534	CSDC2
Q9Y2J2	EPB41L3
P52294	KPNA1
Q16543	CDC37
Q9UK76	JPT1
Q8WUA7	TBC1D22A
Q8IVF2	AHNAK2
P19338	NCL
P17544	ATF7
P49006	MARCKSL1
P49585	PCYT1A
P67809	YBX1
P24385	CCND1
Q1KMD3	HNRNPUL2
Q9UPS8	ANKRD26
O76021	RSL1D1
Q96N21	TEPSIN
P62258	YWHAE
Q86UP2	KTN1
Q15124	PGM5
Q13207	TBX2
Q13459	MYO9B
O75533	SF3B1
Q12929	EPS8
Q7L014	DDX46
Q96MW1	CCDC43
Q04637	EIF4G1
Q96TA1	NIBAN2
Q5T4S7	UBR4
O75694	NUP155
Q96N67	DOCK7
Q12816	TRO
Q3YEC7	RABL6
O75367	MACROH2A1
Q92614	MYO18A
Q8WZ42	TTN
P85037	FOXK1
P09525	ANXA4
Q03001	DST
A6NKL6	TMEM200C
Q8IYB3	SRRM1
Q15032	R3HDM1
Q14126	DSG2
Q6WCQ1	MPRIP
Q8N9M1	C19orf47
Q0D2I5	IFFO1
Q96ST2	IWS1
Q9H792	PEAK1
Q9H8Y8	GORASP2
Q9C0D5	TANC1
P49327	FASN
P50502	ST13
Q8N8A6	DDX51
Q8WUY3	PRUNE2
Q09666	AHNAK
P17010	ZFX
Q13427	PPIG
Q7Z4V5	HDGFL2
Q7Z6B7	SRGAP1
Q8TDM6	DLG5
Q96S94	CCNL2
Q02952	AKAP12
O14686	KMT2D
P52948	NUP98
P49815	TSC2
Q8IVT5	KSR1
Q9Y6R0	NUMBL
O43633	CHMP2A
Q9NUP1	BLOC1S4
Q9GZR7	DDX24
P46783	RPS10
Q53F19	NCBP3
Q07157	TJP1
Q04721	NOTCH2
P29966	MARCKS
O14617	AP3D1
Q9H0D6	XRN2
P27824	CANX
Q9UK58	CCNL1
P51531	SMARCA2
Q9H4I2	ZHX3
Q9NU22	MDN1
Q15459	SF3A1
Q99547	MPHOSPH6
Q9Y2W1	THRAP3
Q9NWQ8	PAG1
P80723	BASP1
Q9BY11	PACSIN1
Q0ZGT2	NEXN
Q13023	AKAP6
Q9P0K7	RAI14
P78559	MAP1A
Q8IXS6	PALM2
P51532	SMARCA4
P48634	PRRC2A
Q86UE8	TLK2
Q9BZ29	DOCK9
Q8NE71	ABCF1
O75128	COBL
Q9NQC3	RTN4
Q9Y343	SNX24
O75691	UTP20
P34932	HSPA4
Q5T8D3	ACBD5
Q9NUA8	ZBTB40
Q8NDI1	EHBP1
O60841	EIF5B
P51608	MECP2
Q9H6B4	CLMP
Q9P2K5	MYEF2
Q9BVS4	RIOK2
Q5VWP3	MLIP
P21333	FLNA
Q9Y520	PRRC2C
Q9UPN3	MACF1
Q6PD74	AAGAB
Q13367	AP3B2
Q86VM9	ZC3H18
Q9Y320	TMX2
Q9H3Q1	CDC42EP4
Q93009	USP7
