From	To
O75822	O75822
Q9UID3	Q9UID3
Q9NR33	Q9NR33
Q13523	Q13523
Q12933	Q12933
Q9NS69	Q9NS69
O75427	O75427
Q96GM8	Q96GM8
Q15042	Q15042
Q9HAP2	Q9HAP2
Q8IY67	Q8IY67
P30566	P30566
Q9H7E9	Q9H7E9
A6NFI3	A6NFI3
Q9H0S4	Q9H0S4
Q04446	Q04446
Q13263	Q13263
Q7L4I2	Q7L4I2
P55210	P55210
Q96EB6	Q96EB6
Q03135	Q03135
P52907	P52907
O60504	O60504
Q99733	Q99733
P55209	P55209
P47755	P47755
Q8IV50	Q8IV50
Q702N8	Q702N8
Q9Y5S9	Q9Y5S9
Q9NYM9	Q9NYM9
Q9UK97	Q9UK97
Q86VR2	Q86VR2
P54274	P54274
Q8IZM8	Q8IZM8
Q13838	Q13838
P52565	P52565
O15541	O15541
O60869	O60869
P49736	P49736
Q7L099	Q7L099
O95295	O95295
Q96SW2	Q96SW2
Q8NC56	Q8NC56
P50579	P50579
Q16643	Q16643
Q6ZN30	Q6ZN30
Q9P289	Q9P289
Q9Y6E0	Q9Y6E0
P36021	P36021
Q9H4Z3	Q9H4Z3
O14579	O14579
P78347	P78347
Q63ZY3	Q63ZY3
Q9NVC3	Q9NVC3
Q9BWQ6	Q9BWQ6
Q9BQJ4	Q9BQJ4
Q6P2E9	Q6P2E9
P50851	P50851
Q5JSH3	Q5JSH3
Q9H4A4	Q9H4A4
P23528	P23528
P60981	P60981
Q9Y281	Q9Y281
Q8TDB6	Q8TDB6
Q9P253	Q9P253
O60762	O60762
Q99594	Q99594
O15131	O15131
P35568	P35568
Q13601	Q13601
P49356	P49356
Q13557	Q13557
Q9P0P0	Q9P0P0
Q15020	Q15020
O60293	O60293
Q9NVH1	Q9NVH1
Q9C0J8	Q9C0J8
Q9NVD7	Q9NVD7
P06730	P06730
P46821	P46821
Q9NVA2	Q9NVA2
Q9Y277	Q9Y277
Q9P1Y6	Q9P1Y6
P51636	P51636
Q9NZT2	Q9NZT2
Q9HC35	Q9HC35
Q06330	Q06330
Q9H0C8	Q9H0C8
O00161	O00161
P50402	P50402
Q9BSE4	Q9BSE4
O43399	O43399
Q8WTS6	Q8WTS6
O60662	O60662
Q15029	Q15029
O14979	O14979
P06748	P06748
Q8N720	Q8N720
Q96HH4	Q96HH4
O60285	O60285
Q9P0U4	Q9P0U4
Q9BZF1	Q9BZF1
Q8N697	Q8N697
Q9H3H3	Q9H3H3
Q13698	Q13698
P28347	P28347
Q70E73	Q70E73
Q16878	Q16878
Q86VQ6	Q86VQ6
O43760	O43760
O60684	O60684
Q9NWV8	Q9NWV8
Q14934	Q14934
Q9BXP5	Q9BXP5
Q14872	Q14872
P62273	P62273
Q6AW86	Q6AW86
Q70Z53	Q70Z53
Q5BJH7	Q5BJH7
P84103	P84103
O95379	O95379
Q15772	Q15772
P35613	P35613
A0AV02	A0AV02
Q9HAS0	Q9HAS0
Q9UPE1	Q9UPE1
Q96ET8	Q96ET8
Q9UG56	Q9UG56
Q14315	Q14315
O95772	O95772
P17980	P17980
Q9HCD5	Q9HCD5
O94875	O94875
P60468	P60468
Q9ULS5	Q9ULS5
Q9UKY7	Q9UKY7
Q96AY3	Q96AY3
Q9H7L9	Q9H7L9
Q86WX3	Q86WX3
O60664	O60664
P35659	P35659
P06454	P06454
Q96FQ6	Q96FQ6
Q8IWE2	Q8IWE2
P45378	P45378
Q8NDC0	Q8NDC0
Q99536	Q99536
P26368	P26368
P45379	P45379
P62328	P62328
P61244	P61244
Q13177	Q13177
P08047	P08047
P63165	P63165
P62995	P62995
Q9UMY4	Q9UMY4
Q9UNF1	Q9UNF1
Q13595	Q13595
P16989	P16989
O95747	O95747
Q9UHY1	Q9UHY1
Q0VAK6	Q0VAK6
Q9UBL0	Q9UBL0
Q9H0W8	Q9H0W8
P16403	P16403
P10412	P10412
P16401	P16401
P16402	P16402
P05976	P05976
P20042	P20042
P11387	P11387
Q15149	Q15149
Q9UQ80	Q9UQ80
P49840	P49840
Q14240	Q14240
Q13541	Q13541
P98175	P98175
P63218	P63218
Q9Y3A5	Q9Y3A5
P13489	P13489
Q3YBR2	Q3YBR2
P62316	P62316
Q9HB90	Q9HB90
O00560	O00560
O43752	O43752
Q969X1	Q969X1
P17661	P17661
Q16851	Q16851
Q16539	Q16539
P68402	P68402
B4DJY2	B4DJY2
Q9UEY8	Q9UEY8
P11055	P11055
P84022	P84022
Q15796	Q15796
P62820	P62820
P33991	P33991
P00352	P00352
P22314	P22314
Q00839	Q00839
Q00341	Q00341
Q9Y241	Q9Y241
P20340	P20340
Q15836	Q15836
P49023	P49023
P07355	P07355
Q92522	Q92522
Q9NWU2	Q9NWU2
Q86Y82	Q86Y82
Q9Y262	Q9Y262
O15400	O15400
Q15311	Q15311
Q9BSE2	Q9BSE2
Q9Y534	Q9Y534
Q9Y2J2	Q9Y2J2
P52294	P52294
Q16543	Q16543
Q9UK76	Q9UK76
Q8WUA7	Q8WUA7
Q8IVF2	Q8IVF2
P19338	P19338
P17544	P17544
P49006	P49006
P49585	P49585
P67809	P67809
P24385	P24385
Q1KMD3	Q1KMD3
Q9UPS8	Q9UPS8
O76021	O76021
Q96N21	Q96N21
P62258	P62258
Q86UP2	Q86UP2
Q15124	Q15124
Q13207	Q13207
Q13459	Q13459
O75533	O75533
Q12929	Q12929
Q7L014	Q7L014
Q96MW1	Q96MW1
Q04637	Q04637
Q96TA1	Q96TA1
Q5T4S7	Q5T4S7
O75694	O75694
Q96N67	Q96N67
Q12816	Q12816
Q3YEC7	Q3YEC7
O75367	O75367
Q92614	Q92614
Q8WZ42	Q8WZ42
P85037	P85037
P09525	P09525
Q03001	Q03001
A6NKL6	A6NKL6
Q8IYB3	Q8IYB3
Q15032	Q15032
Q14126	Q14126
Q6WCQ1	Q6WCQ1
Q8N9M1	Q8N9M1
Q0D2I5	Q0D2I5
Q96ST2	Q96ST2
Q9H792	Q9H792
Q9H8Y8	Q9H8Y8
