From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O75822	O75822	reviewed	EIF3J_HUMAN	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35)	EIF3J EIF3S1 PRO0391	Homo sapiens (Human)	258
Q9UID3	Q9UID3	reviewed	VPS51_HUMAN	Vacuolar protein sorting-associated protein 51 homolog (Another new gene 2 protein) (Protein fat-free homolog)	VPS51 ANG2 C11orf2 C11orf3 FFR PP5382	Homo sapiens (Human)	782
Q9NR33	Q9NR33	reviewed	DPOE4_HUMAN	DNA polymerase epsilon subunit 4 (DNA polymerase II subunit 4) (DNA polymerase epsilon subunit p12)	POLE4	Homo sapiens (Human)	117
Q13523	Q13523	reviewed	PRP4B_HUMAN	Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 kinase) (PRP4 pre-mRNA-processing factor 4 homolog)	PRPF4B KIAA0536 PRP4 PRP4H PRP4K	Homo sapiens (Human)	1007
Q12933	Q12933	reviewed	TRAF2_HUMAN	TNF receptor-associated factor 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2) (Tumor necrosis factor type 2 receptor-associated protein 3)	TRAF2 TRAP3	Homo sapiens (Human)	501
Q9NS69	Q9NS69	reviewed	TOM22_HUMAN	Mitochondrial import receptor subunit TOM22 homolog (hTom22) (1C9-2) (Translocase of outer membrane 22 kDa subunit homolog)	TOMM22 TOM22	Homo sapiens (Human)	142
O75427	O75427	reviewed	LRCH4_HUMAN	Leucine-rich repeat and calponin homology domain-containing protein 4 (Leucine-rich repeat neuronal protein 4) (Leucine-rich neuronal protein)	LRCH4 LRN LRRN1 LRRN4	Homo sapiens (Human)	683
Q96GM8	Q96GM8	reviewed	TOE1_HUMAN	Target of EGR1 protein 1	TOE1	Homo sapiens (Human)	510
Q15042	Q15042	reviewed	RB3GP_HUMAN	Rab3 GTPase-activating protein catalytic subunit (RAB3 GTPase-activating protein 130 kDa subunit) (Rab3-GAP p130) (Rab3-GAP)	RAB3GAP1 KIAA0066 RAB3GAP	Homo sapiens (Human)	981
Q9HAP2	Q9HAP2	reviewed	MLXIP_HUMAN	MLX-interacting protein (Class E basic helix-loop-helix protein 36) (bHLHe36) (Transcriptional activator MondoA)	MLXIP BHLHE36 KIAA0867 MIR MONDOA	Homo sapiens (Human)	919
Q8IY67	Q8IY67	reviewed	RAVR1_HUMAN	Ribonucleoprotein PTB-binding 1 (Protein raver-1)	RAVER1 KIAA1978	Homo sapiens (Human)	606
P30566	P30566	reviewed	PUR8_HUMAN	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	ADSL AMPS	Homo sapiens (Human)	484
Q9H7E9	Q9H7E9	reviewed	CH033_HUMAN	UPF0488 protein C8orf33	C8orf33	Homo sapiens (Human)	229
A6NFI3	A6NFI3	reviewed	ZN316_HUMAN	Zinc finger protein 316	ZNF316	Homo sapiens (Human)	1004
Q9H0S4	Q9H0S4	reviewed	DDX47_HUMAN	Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47)	DDX47	Homo sapiens (Human)	455
Q04446	Q04446	reviewed	GLGB_HUMAN	1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (Brancher enzyme) (Glycogen-branching enzyme)	GBE1	Homo sapiens (Human)	702
Q13263	Q13263	reviewed	TIF1B_HUMAN	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	TRIM28 KAP1 RNF96 TIF1B	Homo sapiens (Human)	835
Q7L4I2	Q7L4I2	reviewed	RSRC2_HUMAN	Arginine/serine-rich coiled-coil protein 2	RSRC2	Homo sapiens (Human)	434
P55210	P55210	reviewed	CASP7_HUMAN	Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]	CASP7 MCH3	Homo sapiens (Human)	303
Q96EB6	Q96EB6	reviewed	SIR1_HUMAN	NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	SIRT1 SIR2L1	Homo sapiens (Human)	747
Q03135	Q03135	reviewed	CAV1_HUMAN	Caveolin-1	CAV1 CAV	Homo sapiens (Human)	178
P52907	P52907	reviewed	CAZA1_HUMAN	F-actin-capping protein subunit alpha-1 (CapZ alpha-1)	CAPZA1	Homo sapiens (Human)	286
