From	To
O75822	8669
Q9UID3	738
Q9NR33	56655
Q13523	8899
Q12933	7186
Q9NS69	56993
O75427	4034
Q96GM8	114034
Q15042	22930
Q9HAP2	22877
Q8IY67	125950
P30566	158
Q9H7E9	65265
A6NFI3	100131017
Q9H0S4	51202
Q04446	2632
Q13263	10155
Q7L4I2	65117
P55210	840
Q96EB6	23411
Q03135	857
P52907	829
O60504	10174
Q99733	4676
P55209	4673
P47755	830
Q8IV50	256586
Q702N8	165904
Q9Y5S9	9939
Q9NYM9	51272
Q9UK97	26268
Q86VR2	162427
P54274	7013
Q13838	7919
P52565	396
O15541	7737
O60869	8721
P49736	4171
Q7L099	22902
O95295	23557
Q96SW2	51185
Q8NC56	221496
P50579	10988
Q16643	1627
Q6ZN30	54796
Q9P289	51765
Q9Y6E0	8428
P36021	6567
Q9H4Z3	63935
O14579	11316
P78347	2969
Q63ZY3	25959
Q9NVC3	55238
Q9BWQ6	78992
Q9BQJ4	83604
Q6P2E9	23644
P50851	987
Q5JSH3	54521
Q9H4A4	6051
P23528	1072
P60981	11034
Q9Y281	1073
Q8TDB6	151636
Q9P253	57617
O60762	8813
Q99594	7005
O15131	3841
P35568	3667
Q13601	11103
P49356	100529261
P49356	2342
Q13557	817
Q9P0P0	51255
Q15020	9733
O60293	196441
Q9NVH1	55735
Q9C0J8	55339
Q9NVD7	55742
P06730	1977
P46821	4131
Q9NVA2	55752
Q9Y277	7419
Q9P1Y6	57661
P51636	858
Q9NZT2	11054
Q9HC35	27436
Q06330	3516
Q9H0C8	80895
O00161	8773
P50402	2010
Q9BSE4	64224
O43399	7165
Q8WTS6	80854
O60662	10324
Q15029	9343
O14979	9987
P06748	4869
Q8N720	79027
Q96HH4	92691
O60285	9891
Q9P0U4	30827
Q9BZF1	114882
Q8N697	121260
Q9H3H3	83638
Q13698	779
P28347	7003
Q70E73	65059
Q16878	1036
Q86VQ6	114112
O43760	9144
O60684	23633
Q9NWV8	29086
Q14934	4776
Q9BXP5	51593
Q14872	4520
P62273	6235
Q6AW86	388569
Q70Z53	118924
Q5BJH7	90522
P84103	6428
O95379	25816
Q15772	10290
P35613	682
A0AV02	84561
Q9HAS0	64149
Q9UPE1	26576
Q96ET8	100533496
Q96ET8	201158
Q9UG56	23761
Q14315	2318
O95772	83930
P17980	5702
Q9HCD5	57727
O94875	8470
P60468	10952
Q9ULS5	57458
Q9UKY7	55573
Q96AY3	60681
Q9H7L9	64426
Q86WX3	91582
O60664	10226
P35659	7913
P06454	5757
Q96FQ6	140576
Q8IWE2	92689
P45378	7140
Q8NDC0	93487
Q99536	10493
P26368	11338
P45379	7139
P62328	7114
P61244	4149
Q13177	5062
P08047	6667
P63165	7341
P62995	6434
Q9UMY4	29934
Q9UNF1	10916
Q13595	29896
P16989	8531
O95747	9943
Q9UHY1	29959
Q0VAK6	56203
Q9UBL0	10777
Q9H0W8	56006
P16403	3006
P10412	3008
P16401	3009
P16402	3007
P05976	4632
P20042	8894
P11387	7150
Q15149	5339
Q9UQ80	5036
P49840	2931
Q14240	1974
Q13541	1978
P98175	8241
P63218	2787
Q9Y3A5	51119
P13489	6050
Q3YBR2	84897
P62316	6633
Q9HB90	64121
O00560	6386
O43752	10228
Q969X1	64114
P17661	1674
Q16851	7360
Q16539	1432
P68402	5049
B4DJY2	387890
Q9UEY8	120
P11055	4621
P84022	4088
Q15796	4087
P62820	5861
P33991	4173
P00352	216
P22314	7317
Q00839	3192
Q00341	3069
Q9Y241	25994
P20340	5870
Q15836	9341
P49023	5829
P07355	302
Q92522	8971
Q9NWU2	54994
Q86Y82	23673
Q9Y262	51386
O15400	8417
Q15311	10928
Q9BSE2	84283
Q9Y534	27254
Q9Y2J2	23136
P52294	3836
Q16543	11140
Q9UK76	51155
Q8WUA7	25771
Q8IVF2	113146
P19338	4691
P17544	11016
P49006	65108
P49585	5130
P67809	4904
P24385	595
Q1KMD3	221092
Q9UPS8	22852
O76021	26156
Q96N21	146705
P62258	7531
Q86UP2	3895
Q15124	5239
Q13207	6909
Q13459	4650
O75533	23451
Q12929	2059
Q7L014	9879
Q96MW1	124808
Q04637	1981
Q96TA1	64855
Q5T4S7	23352
O75694	9631
Q96N67	85440
Q12816	7216
Q3YEC7	55684
O75367	9555
Q92614	399687
Q8WZ42	7273
P85037	221937
P09525	307
Q03001	667
A6NKL6	645369
Q8IYB3	10250
Q15032	23518
Q14126	1829
Q6WCQ1	23164
Q8N9M1	126526
Q0D2I5	25900
Q96ST2	55677
Q9H792	79834
Q9H8Y8	26003
Q9C0D5	85461
P49327	2194
P50502	6767
Q8N8A6	317781
Q8WUY3	158471
Q09666	79026
P17010	7543
Q13427	9360
Q7Z4V5	84717
Q7Z6B7	57522
Q8TDM6	9231
Q96S94	81669
Q02952	9590
O14686	8085
P52948	4928
P49815	7249
Q8IVT5	8844
Q9Y6R0	9253
O43633	27243
Q9NUP1	55330
Q9GZR7	57062
P46783	6204
Q53F19	55421
Q07157	7082
Q04721	4853
P29966	4082
O14617	8943
Q9H0D6	22803
P27824	821
Q9UK58	57018
P51531	6595
Q9H4I2	23051
Q9NU22	23195
Q15459	10291
Q99547	10200
Q9Y2W1	9967
Q9NWQ8	55824
P80723	10409
Q9BY11	29993
Q0ZGT2	91624
Q13023	9472
Q9P0K7	26064
P78559	4130
Q8IXS6	445815
P51532	6597
P48634	7916
Q86UE8	11011
Q9BZ29	23348
Q8NE71	23
O75128	23242
Q9NQC3	57142
Q9Y343	28966
O75691	27340
P34932	3308
Q5T8D3	91452
Q9NUA8	9923
Q8NDI1	23301
O60841	9669
P51608	4204
Q9H6B4	79827
Q9P2K5	50804
Q9BVS4	55781
Q5VWP3	90523
P21333	2316
Q9Y520	23215
Q9UPN3	23499
Q6PD74	79719
Q13367	8120
Q86VM9	124245
Q9Y320	51075
Q9H3Q1	23580
Q93009	7874
O95208	22905
O94885	23328
O60832	1736
Q14692	9790
Q9UQ35	23524
Q12770	22937
Q15223	5818
Q53GL7	84875
P50993	477
Q9H4L4	26168
Q2M2I8	22848
Q9P2M4	57533
Q6F5E8	146206
Q8N2Y8	9853
Q9HCH0	57701
Q8TEJ3	344558
Q9UK96	26267
Q6PJG2	91748
O75113	9683
P51116	9513
Q8IZD4	196513
P61966	1174
Q86V48	7798
P36871	5236
Q4ADV7	57589
O00401	8976
Q9BXI6	83874
Q9H6S1	64343
P51114	8087
P06753	7170
P09493	7168
Q9Y4I1	4644
Q32P44	256364
Q8N6H7	84364
Q92667	8165
Q6KC79	25836
P53396	47
Q9GZT9	54583
Q92576	23469
Q9Y618	9612
P07197	4741
Q9NSY0	340371
Q9H501	51575
O60336	23005
Q8IY81	117246
Q32MZ4	9208
P13798	327
O00461	27333
P35579	4627
Q9Y617	29968
Q9BXY0	84549
P00558	5230
Q2LD37	84162
Q13769	8563
Q9BQG0	10514
O94876	23023
P11831	6722
Q8IWR0	29066
Q8N554	92822
P49589	833
O75151	5253
Q9Y250	11178
Q9Y3M8	90627
Q96L91	57634
P11717	3482
Q6R327	253260
Q07021	708
Q5VTR2	56254
Q15276	9135
Q6JBY9	92241
Q12955	288
Q9BQI0	83543
Q9Y2H5	22874
Q86TI0	23216
P61006	4218
P25445	355
O75396	9554
Q96HC4	10611
Q8WVC0	123169
Q92530	9491
Q6AI08	63897
Q8N3V7	11346
Q9ULD9	57507
Q8NEY1	89796
Q9H3Z4	80331
Q96B97	30011
Q9H7D0	80005
Q8TBF4	85437
Q969G5	112464
Q9NQX5	56654
Q06265	5393
P20290	689
P41252	3376
P00966	445
Q96L96	57538
Q9Y4B5	23255
Q66K14	23061
Q9Y676	28973
Q8TE77	54961
O15014	23060
Q9UJ41	27342
Q12893	11070
Q5T5Y3	157922
Q9UJZ1	30968
Q14980	4926
Q13200	5708
Q96JH7	80124
Q9Y4H2	8660
P43686	5704
Q6P996	23042
O75376	9611
O15075	9201
Q5T5U3	57584
Q9Y4J8	1837
Q9Y4W2	81887
Q02818	4924
Q15811	6453
Q14678	23189
Q96RK0	23152
Q9H8Y5	55139
Q14152	8661
Q9HBR0	124565
Q05655	5580
Q96QD9	84248
Q13247	6431
Q9UBI6	55970
Q711Q0	118461
Q14247	2017
O75364	5309
Q4V9L6	338773
Q99592	10472
Q9C0E8	80856
Q68DQ2	131544
Q68CZ2	64759
Q96FT9	112752
Q9NRA8	56478
Q14155	8874
Q96QE2	114134
Q6P1N0	54862
Q5QJE6	30836
Q8NDT2	29890
Q8NBV4	84814
Q02880	7155
O75167	9749
Q12778	2308
Q92783	8027
Q14677	9685
Q8IU81	26145
Q9H1B7	64207
Q8TB72	23369
O00273	1676
Q8IVB4	285195
Q8N5I9	121053
O43426	8867
Q96PE3	3631
Q86YS7	9847
Q96CP2	114984
O94804	6793
A1X283	285590
Q9H2I8	83938
O15143	10095
Q9H019	56181
Q9Y2K5	22864
O43182	395
O75147	23363
Q9Y490	7094
O75122	23122
P57103	6547
P51956	4752
Q9NPI6	55802
Q66PJ3	51329
Q8NFH5	129401
Q8N1G2	23070
Q5SW79	9859
O43795	4430
Q9UJV3	11043
O15344	4281
Q8TDY2	9821
O75410	6867
P20929	4703
Q14966	27332
Q8N1G0	57592
Q9BRD0	84811
P01008	462
Q9UH99	25777
Q96GA3	84946
P11137	4133
Q8IY33	79778
Q8N3X1	23360
Q02641	782
Q9UQN3	25978
Q9H0E9	10902
Q5VZP5	92235
Q9P0V9	151011
O95810	8436
Q9ULU4	23613
Q14258	7706
P46100	546
Q9H1E3	64710
Q13586	6786
Q6PCE3	283209
Q96PD2	131566
Q9UHB7	27125
P22059	5007
Q9Y2K6	10868
Q66K74	55201
Q96JM3	283489
Q8TB61	347734
Q8IWZ8	57794
Q13153	5058
P32418	6546
Q6P4R8	4798
Q8NEF9	153443
P68363	10376
P51812	6197
Q5TGY3	27245
Q9UPU9	23034
P21127	984
Q9UQ88	728642
Q12888	7158
Q9Y478	5564
P27816	4134
O75970	8777
P53621	1314
Q0JRZ9	115548
Q9UPP1	23133
Q96PY5	114793
Q04727	7091
Q04726	7090
Q96T23	51773
P04049	5894
O00571	1654
Q9Y678	22820
Q9NUE0	84243
Q9Y2K1	22890
Q9Y485	1657
Q8IVL0	89795
P49792	5903
P24534	1933
Q15649	9326
Q8IX12	55749
Q9HCK8	57680
O94874	23376
P37275	6935
Q8TAD8	79753
P08238	3326
Q7Z6E9	5930
O14647	1106
Q9UGP8	11231
Q3L8U1	80205
P49407	408
Q5THJ4	55187
O00566	10199
Q8WUB8	55274
P51397	1611
Q8N3L3	167838
Q9ULX3	28987
P23327	3270
Q13426	7518
Q9H1E5	56255
P0DP91	2074
Q8NFD5	57492
Q9H6T3	79657
Q01831	7508
Q8NEN9	118987
O15042	23350
P78362	6733
O95365	51341
Q9NVU7	55153
Q5F1R6	134218
Q92794	7994
Q9UQL6	10014
Q9UPQ9	23112
Q96JG6	55610
Q15154	5108
P48307	7980
Q9P2D1	55636
P23396	6188
Q96ST8	84902
O60271	9043
Q8NC51	26135
P07196	4747
P17535	3727
Q68E01	65123
Q6VMQ6	55729
P13591	4684
P09619	5159
Q9UKE5	23043
P32004	3897
Q15746	4638
Q92545	23505
Q96KC8	64215
O43237	1783
O15372	8667
Q13131	5562
P52655	2957
Q6NUK4	221035
Q8NEB9	5289
Q9UER7	1616
P30041	9588
P25205	4172
Q8WYP3	54453
Q9Y282	51614
Q9BR39	57158
Q71RC2	113251
Q96QB1	10395
Q9NWH9	79811
Q9ULT0	57217
Q12789	2975
Q99569	8502
Q9Y3B9	51018
O43294	7041
